ハンサムな,なけいようし,めいし,どうし,いけいようし,,,,,,
きれい,なけいようし,めいし,どうし,いけいようし,,,,,,
しずか,なけいようし,めいし,どうし,いけいようし,,,,,,
にぎやか,なけいようし,めいし,どうし,いけいようし,,,,,,
ゆうめい,なけいようし,めいし,どうし,いけいようし,,,,,,
しんせつ,なけいようし,めいし,どうし,いけいようし,,,,,,
げんき,なけいようし,めいし,どうし,いけいようし,,,,,,
ひま,なけいようし,めいし,どうし,いけいようし,,,,,,
べんり,なけいようし,めいし,どうし,いけいようし,,,,,,
すてき,なけいようし,めいし,どうし,いけいようし,,,,,,
おきます,どうし,めいし,いけいようし,なけいようし,,,,,,
ねます,どうし,めいし,いけいようし,なけいようし,,,,,,
はたらきます,どうし,めいし,いけいようし,なけいようし,,,,,,
やすみます,どうし,めいし,いけいようし,なけいようし,,,,,,
べんきょうします,どうし,めいし,いけいようし,なけいようし,,,,,,
おわります,どうし,めいし,いけいようし,なけいようし,,,,,,
いきます,どうし,めいし,いけいようし,なけいようし,,,,,,
かえります,どうし,めいし,いけいようし,なけいようし,,,,,,
たべます,どうし,めいし,いけいようし,なけいようし,,,,,,
のみます,どうし,めいし,いけいようし,なけいようし,,,,,,
みます,どうし,めいし,いけいようし,なけいようし,,,,,,
よみます,どうし,めいし,いけいようし,なけいようし,,,,,,
かきます,どうし,めいし,いけいようし,なけいようし,,,,,,
します,どうし,めいし,いけいようし,なけいようし,,,,,,
おくります,どうし,めいし,いけいようし,なけいようし,,,,,,
もらいます,どうし,めいし,いけいようし,なけいようし,,,,,,
かします,どうし,めいし,いけいようし,なけいようし,,,,,,
かります,どうし,めいし,いけいようし,なけいようし,,,,,,
ならいます,どうし,めいし,いけいようし,なけいようし,,,,,,
おおきい,いけいようし,めいし,どうし,なけいようし,,,,,,
ちいさい,いけいようし,めいし,どうし,なけいようし,,,,,,
あたらしい,いけいようし,めいし,どうし,なけいようし,,,,,,
ふるい,いけいようし,めいし,どうし,なけいようし,,,,,,
いい[よい],いけいようし,めいし,どうし,なけいようし,,,,,,
わるい,いけいようし,めいし,どうし,なけいようし,,,,,,
あつい,いけいようし,めいし,どうし,なけいようし,,,,,,
さむい,いけいようし,めいし,どうし,なけいようし,,,,,,
つめたい,いけいようし,めいし,どうし,なけいようし,,,,,,
むずかしい,いけいようし,めいし,どうし,なけいようし,,,,,,
やさしい,いけいようし,めいし,どうし,なけいようし,,,,,,
たかい,いけいようし,めいし,どうし,なけいようし,,,,,,
やすい,いけいようし,めいし,どうし,なけいようし,,,,,,
ひくい,いけいようし,めいし,どうし,なけいようし,,,,,,
おもしろい,いけいようし,めいし,どうし,なけいようし,,,,,,
おいしい,いけいようし,めいし,どうし,なけいようし,,,,,,
いそがしい,いけいようし,めいし,どうし,なけいようし,,,,,,
たのしい,いけいようし,めいし,どうし,なけいようし,,,,,,
しろい,いけいようし,めいし,どうし,なけいようし,,,,,,
くろい,いけいようし,めいし,どうし,なけいようし,,,,,,
あかい,いけいようし,めいし,どうし,なけいようし,,,,,,
あおい,いけいようし,めいし,どうし,なけいようし,,,,,,
ボールペン,めいし,どうし,いけいようし,なけいようし,,,,,,
シャ－プペンシル,めいし,どうし,いけいようし,なけいようし,,,,,,
テレビ,めいし,どうし,いけいようし,なけいようし,,,,,,
ラジオ,めいし,どうし,いけいようし,なけいようし,,,,,,
カメラ,めいし,どうし,いけいようし,なけいようし,,,,,,
コンピュ－タ－,めいし,どうし,いけいようし,なけいようし,,,,,,
チョコレート,めいし,どうし,いけいようし,なけいようし,,,,,,
にほん,めいし,どうし,いけいようし,なけいようし,,,,,,
ほん,めいし,どうし,いけいようし,なけいようし,,,,,,
じしょ,めいし,どうし,いけいようし,なけいようし,,,,,,
ざっし,めいし,どうし,いけいようし,なけいようし,,,,,,
しんぶん,めいし,どうし,いけいようし,なけいようし,,,,,,
てちょう,めいし,どうし,いけいようし,なけいようし,,,,,,
めいし,めいし,どうし,いけいようし,なけいようし,,,,,,
えんぴつ,めいし,どうし,いけいようし,なけいようし,,,,,,
